"","female","married","hhsize","books_age10","maths_age10","language_age10","EduYears","eurod","country_mod","iv009_mod","inc_bin","co007_","co007_mod","country250","country276","country380","country528","country724"
"106075",1,1,2,2,3,1,0.04,1,276,1,"third","3","2",0,1,0,0,0
"106085",1,1,2,2,3,3,-0.12,3,276,4,"fourth","4","2",0,1,0,0,0
"106105",1,0,1,2,3,3,-0.76,5,276,3,"fourth","4","2",0,1,0,0,0
"106115",1,1,2,3,3,3,0.04,3,276,4,"fourth","4","2",0,1,0,0,0
"106117",0,1,2,1,3,3,0.04,3,276,4,"fourth","4","2",0,1,0,0,0
"106152",1,1,2,2,3,3,-0.12,0,276,5,"first","3","2",0,1,0,0,0
"106156",0,1,2,3,3,2,-0.28,2,276,5,"first","3","2",0,1,0,0,0
"106177",1,0,2,1,3,3,0.04,2,276,4,"first","4","2",0,1,0,0,0
"106227",1,0,1,1,3,2,-0.04,3,276,5,"second","3","2",0,1,0,0,0
"106244",0,1,2,2,3,3,-0.12,2,276,5,"fourth","2","1",0,1,0,0,0
"106266",1,1,2,1,3,4,-0.2,2,276,4,"second","4","2",0,1,0,0,0
"106287",0,1,2,3,3,2,0.04,1,276,5,"fourth","4","2",0,1,0,0,0
"106320",0,1,2,1,3,2,-0.04,1,276,5,"fourth","3","2",0,1,0,0,0
"106350",0,0,1,5,4,4,0.52,4,276,3,"fourth","4","2",0,1,0,0,0
"106352",1,0,1,1,3,2,-0.36,1,276,5,"second","2","1",0,1,0,0,0
"106381",0,1,2,3,2,2,0.68,1,276,5,"second","3","2",0,1,0,0,0
"106425",0,1,2,1,1,1,-0.36,1,276,1,"fourth","4","2",0,1,0,0,0
"106455",1,1,2,2,3,3,0.04,1,276,4,"fourth","3","2",0,1,0,0,0
"106459",0,1,2,1,3,3,0.04,0,276,4,"fourth","3","2",0,1,0,0,0
"106463",1,1,3,1,3,2,0.12,1,276,4,"third","3","2",0,1,0,0,0
"106465",0,1,3,1,3,2,0.12,1,276,4,"third","3","2",0,1,0,0,0
"106488",0,1,2,5,2,2,0.44,0,276,4,"fourth","4","2",0,1,0,0,0
"106494",0,0,2,1,2,3,0.12,0,276,4,"fourth","4","2",0,1,0,0,0
"106496",1,0,2,1,1,1,0.28,2,276,4,"fourth","4","2",0,1,0,0,0
"106499",1,1,3,1,4,2,-0.12,2,276,5,"third","4","2",0,1,0,0,0
"106502",0,1,3,1,3,2,-0.12,1,276,5,"third","4","2",0,1,0,0,0
"106524",1,1,2,1,3,2,0.04,0,276,4,"fourth","3","2",0,1,0,0,0
"106533",0,1,2,1,4,4,-0.2,4,276,5,"fourth","2","1",0,1,0,0,0
"106561",0,1,2,2,3,3,-0.04,1,276,5,"third","3","2",0,1,0,0,0
"106569",0,0,2,5,3,2,0.2,2,276,5,"second","4","2",0,1,0,0,0
"106570",0,1,2,4,2,2,0.12,0,276,5,"second","2","1",0,1,0,0,0
"106573",1,1,2,3,2,2,-0.12,0,276,5,"second","2","1",0,1,0,0,0
"106579",1,1,2,2,3,2,-0.36,2,276,5,"second","2","1",0,1,0,0,0
"106581",0,1,2,3,3,3,-0.12,2,276,5,"second","2","1",0,1,0,0,0
"106593",0,1,2,1,3,3,-0.12,2,276,1,"second","4","2",0,1,0,0,0
"106595",1,1,2,1,3,2,-0.28,1,276,1,"second","4","2",0,1,0,0,0
"106640",0,1,2,3,3,3,-0.12,1,276,5,"third","3","2",0,1,0,0,0
"106644",1,1,2,2,3,4,0.04,3,276,5,"third","3","2",0,1,0,0,0
"106690",1,1,2,3,2,3,0.04,1,276,5,"first","3","2",0,1,0,0,0
"106694",0,0,2,2,3,1,0.04,1,276,5,"first","3","2",0,1,0,0,0
"106698",0,1,2,1,3,3,-0.04,1,276,5,"second","4","2",0,1,0,0,0
"106746",1,1,2,5,1,2,0.52,1,276,5,"fourth","4","2",0,1,0,0,0
"106747",0,1,2,3,3,1,0.52,1,276,5,"fourth","4","2",0,1,0,0,0
